id;adresse_commande;etat;date_commande;prix_total;remise_perc;remice_val;prix_livreson;date_sortie
1;back-end PCI;calculating;2022-05-26T15:09:35;97545;42697;38038;57402;2022-05-26T12:04:47
2;Total multi-byte;deposit feed;2022-05-26T23:31:36;9409;83577;54746;22793;2022-05-26T20:09:43
3;online Guinée;Sausages a c;2022-05-26T13:14:06;36484;89526;31057;18149;2022-05-27T08:34:21
4;Languedoc-Roussillon out-of-the-box Aquitaine;Lorraine payment mobile;2022-05-26T20:56:45;96888;76570;74730;24446;2022-05-26T20:35:03
5;Rupiah mindshare;Picardie;2022-05-26T20:43:13;50516;41936;20428;43577;2022-05-26T23:38:37
6;up;Uganda;2022-05-27T01:21:08;31354;86870;53549;57695;2022-05-26T11:28:21
7;Licensed;pixel interfaces c;2022-05-27T01:32:42;12686;66786;51369;37449;2022-05-27T00:07:25
8;bypass Buckinghamshire Wooden;Outdoors web convergence;2022-05-26T13:20:48;80175;30181;56308;20169;2022-05-26T15:30:23
9;monetize;deposit;2022-05-26T18:23:47;70896;20144;93192;54596;2022-05-26T21:12:06
10;Berkshire;leading-edge;2022-05-26T11:01:42;74525;57955;84962;18652;2022-05-27T09:39:48
