id;type;image_path
1;COM JSON a;../fake-data/blob/hipster.txt
2;Future-proofed;../fake-data/blob/hipster.txt
3;JSON attitude-oriented;../fake-data/blob/hipster.txt
4;base real-time;../fake-data/blob/hipster.txt
5;Bahamian analyzer;../fake-data/blob/hipster.txt
6;Jamaïque TCP;../fake-data/blob/hipster.txt
7;cross-platform;../fake-data/blob/hipster.txt
8;Mouffetard Shoes Developpeur;../fake-data/blob/hipster.txt
9;iterate;../fake-data/blob/hipster.txt
10;transmitting b Garden;../fake-data/blob/hipster.txt
